Parish,Town,Church Name,Classification,Status,Photo Count,No Photos,Slug,Latitude,Longitude
Clarendon,Aenon Town,St. Matthew's,church,active,3,,st-matthew-s-aenon-town-clarendon,18.212517,-77.399175
Clarendon,Alley,St. Peter's Church,church,active,9,,st-peter-s-church-alley-clarendon,17.807113,-77.266373
Clarendon,Arthur's Seat,St. Michael's,church,active,1,,st-michael-s-arthurs-seat-clarendon,18.15,-77.40
Clarendon,Beckford Kraal,St. Mark's,church,active,0,YES,st-mark-s-beckford-kraal-clarendon,18.0833,-77.3130
Clarendon,Chapelton,St. Paul's,church,active,11,,st-paul-s-chapelton-clarendon,18.083615,-77.266568
Clarendon,Crofts Hill,All Saints,church,active,6,,all-saints-crofts-hill-clarendon,18.13339,-77.20711
Clarendon,Frankfield,St. Bartholomew's,church,active,1,,st-bartholomew-s-frankfield-clarendon,18.14487,-77.36342
Clarendon,Good Hope,St. Bartholomew's,church,inactive,0,YES,st-bartholomew-s-good-hope-clarendon,18.1523,-77.1923
Clarendon,Hayes,St. James',church,active,1,,st-james-hayes-clarendon,17.877141,-77.241238
Clarendon,Kellitts,St. Bartholomew's,mission,active,1,,st-bartholomew-s-kellitts-clarendon,18.18,-77.31
Clarendon,May Pen,St. Gabriel's,church,active,2,,st-gabriel-s-may-pen-clarendon,17.96873,-77.24717
Clarendon,Milk River,St. Saviour's,church,inactive,1,,st-saviour-s-milk-river-clarendon,17.87793,-77.33448
Clarendon,Mitchell Town,St. Luke's,church,active,0,YES,st-luke-s-mitchell-town-clarendon,17.802079,-77.206356
Clarendon,Mocho,St. Paul's,church,active,11,,st-paul-s-mocho-clarendon,18.041565,-77.336729
Clarendon,Mt. Providence,All Saints',church,active,0,YES,all-saints-mt-providence-clarendon,18.10,-77.30
Clarendon,Palmers Cross,St. John's,church,active,0,YES,st-john-s-palmers-cross-clarendon,17.9312,-77.2023
Clarendon,Park Hall,Holy Trinity,church,active,0,YES,holy-trinity-park-hall-clarendon,18.1512,-77.2412
Clarendon,Peckham,Peckham,church,active,0,YES,peckham-clarendon,17.90,-77.20
Clarendon,Portland Cottage,St. John's,church,inactive,0,YES,st-john-s-portland-cottage-clarendon,17.8912,-77.1523
Clarendon,Race Course,St. Thomas',church,active,1,,st-thomas-race-course-clarendon,17.836943,-77.279607
Clarendon,Red Hills (Clarendon),St. George's,church,active,0,YES,st-george-s-red-hills-clarendon,18.0412,-77.2123
Clarendon,Rhoden Hall,St. Peter's,church,active,0,YES,st-peter-s-rhoden-hall-clarendon,18.174168,-77.256244
Clarendon,Richmond Park,All Saints',church,active,0,YES,all-saints-richmond-park-clarendon,17.9712,-77.2923
Clarendon,Rock River,St. James',church,active,0,YES,st-james-rock-river-clarendon,18.06843,-77.21578
Clarendon,Rocky Point,St. Andrew's,church,active,0,YES,st-andrew-s-rocky-point-clarendon,17.772477,-77.259905
Clarendon,Sanguinetti,St. Luke's,church,active,0,YES,st-luke-s-sanguinetti-clarendon,18.15614,-77.43211
Clarendon,The Cross,Church of the White Cross (Ruins),ruin,ruin,0,YES,church-of-the-white-cross-ruins-the-cross-clarendon,17.95,-77.217
Clarendon,Toll Gate,St. James',church,active,0,YES,st-james-s-toll-gate-clarendon,17.97570,-77.36687
Clarendon,Wood Hall,St. Luke's,chapel,active,0,YES,st-luke-s-wood-hall-clarendon,18.046365520055513,-77.26480141746839
Hanover,Dalmally,St. Bartholomew’s,church,active,0,YES,st-bartholomew-s-dalmally-hanover,18.3975,-78.1931
Hanover,Eaton,St. Philip’s,church,active,0,YES,st-philip-s-eaton-hanover,18.38532,-78.14625
Hanover,Grange,St. Agnes’,church,active,0,YES,st-agnes-grange-hanover,18.36315,-78.23617
Hanover,Green Island,Church-of-the-Holy-Trinity,church,active,1,,church-of-the-holy-trinity-green-island-hanover,18.38903,-78.27311
Hanover,Lucea,Hanover Parish Church,parish_church,active,19,,hanover-parish-church-lucea-hanover,18.450899450707208,-78.16853112266195
Hanover,Ramble,Ramble Anglican Church,church,ruin,0,YES,ramble-anglican-church-hanover,18.3510,-77.9774
Kingston,83 East Street,St. George's Church,church,active,17,,st-george-s-church-83-east-street-kingston,17.973,-76.7897
Kingston,Allman Town,St. Matthew's,church,active,2,,st-matthew-s-allman-town-kingston,17.98301,-76.78585
Kingston,Denham Town,St. Alban's,mission,active,0,YES,st-alban-s-kingston-kingston,17.978968,-76.801979
Kingston,Harbour View,St. Boniface,church,active,5,,st-boniface-harbour-view-kingston,17.94754,-76.71709
Kingston,Kingston (Parade/King St),Kingston Parish Church (St. Thomas the Apostle),parish_church,active,10,,kingston-parish-church-st-thomas-the-apostle-kingston-parade-king-st-kingston,17.970039328682926,-76.79261746091862
Kingston,Port Royal,St. Peter's,church,active,13,,st-peter-s-port-royal-kingston,17.93710,-76.84132
Kingston,Victoria Ave,St. Michael & All Angels,church,active,2,,st-michael-s-church-hannah-town-kingston,17.97090,-76.78032
Kingston,Vineyard Town,Christ Church,church,inactive,1,,christ-church-vineyard-town-kingston,17.989505,-76.771522
Kingston,West Street,All Saints',church,active,4,,all-saints-west-branch-kingston,17.975139,-76.795617
Kingston,Windward Road,St. Patrick's,church,active,2,,st-patrick-s-windward-road-kingston,17.97438,-76.75621
Manchester,Alston,St. John the Divine,church,active,0,YES,st-john-the-divine-alston-manchester,18.1830,-77.4360
Manchester,Auchtembeddie,St. John's,church,active,0,YES,st-john-s-auchtembeddie-manchester,18.21323,-77.62421
Manchester,Battersea,St. Jude's,church,active,0,YES,st-jude-s-battersea-manchester,18.2203,-77.4814
Manchester,Chantilly,St. Stephen's,church,inactive,2,,st-stephen-s-chantilly-manchester,18.10578,-77.46774
Manchester,Christiana,Christ Church,church,active,5,,christ-church-christiana-manchester,18.1619,-77.4923
Manchester,Coleyville,St. John the Baptist's,church,active,1,,st-john-the-baptist-s-coleyville-manchester,18.20617,-77.50534
Manchester,Comfort Hall,St. Simon's,church,active,0,YES,st-simon-s-comfort-hall-manchester,18.1798,-77.6127
Manchester,Craighead,St. James',church,inactive,1,,st-james-s-craighead-manchester,18.2612,-77.5112
Manchester,Devon,St. Lawrence's,church,active,0,YES,st-lawrence-s-devon-manchester,18.1312,-77.5923
Manchester,Georges Valley,St. George's,church,active,0,YES,st-george-s-georges-valley-manchester,18.0317,-77.4808
Manchester,Harmons,St. Andrew's,church,active,0,YES,st-andrew-s-harmons-manchester,17.97970,-77.42211
Manchester,Harry Watch,Harry Watch,church,active,0,YES,harry-watch-manchester,18.15,-77.55
Manchester,Kendal,St. James',church,active,1,,st-james-kendal-manchester,18.0737,-77.4937
Manchester,Mandeville,St. Mark's (Parish Church),parish_church,active,3,,st-mark-s-parish-church-mandeville-manchester,18.0375,-77.508
Manchester,Mile Gully,St. Barnabas',church,active,1,,st-barnabas-mile-gully-manchester,18.1355,-77.543
Manchester,Mile Gully,St. George's Church Ruins,church,ruin,1,,st-george-s-church-ruins-auchtembeddie-manchester,18.15237,-77.56365
Manchester,Mile Gully,St. Paul's Church,church,active,0,YES,st-paul-s-church-mile-gully-manchester,18.1693,-77.5721
Manchester,New Forest,St. Michael and All Angels,church,active,0,YES,st-michael-and-all-angels-manchester,18.068677,-77.457497
Manchester,Old England,St. Philip's,church,active,1,,st-philip-s-old-england-manchester,17.9978,-77.467
Manchester,Porus,St. Augustine's,church,active,1,,st-augustine-s-porus-manchester,18.035043,-77.405175
Manchester,Pratville,St. Jude's,church,active,1,,st-jude-s-pratville-manchester,18.0623,-77.4512
Manchester,Providence,St. Patrick's,church,active,0,YES,st-patrick-s-providence-manchester,18.0712,-77.5823
Manchester,Smithfield,St. Luke's,church,inactive,1,,st-luke-s-smithfield-manchester,18.0923,-77.6123
Manchester,Snowdon,St. David's,church,active,2,,st-david-s-snowdon-manchester,18.0823,-77.4923
Manchester,Spalding,St. Paul's,mission,active,0,YES,st-paul-s-spalding-manchester,18.160002,-77.458206
Manchester,St. Toolies,Holy Trinity,church,active,0,YES,holy-trinity-st-toolies-manchester,18.05,-77.45
Manchester,Whitby,St. Peter's,church,active,0,YES,whitby-manchester,18.20,-77.60
Manchester,Williamsfield,St. Mark's Church,church,active,0,YES,st-mark-s-church-williamsfield-manchester,18.0752,-77.4682
Portland,Bangor Ridge,St. Philip's,church,active,0,YES,st-philip-s-bangor-ridge-portland,18.16649,-76.68414
Portland,Belvedere,St. Joseph's,church,active,0,YES,st-joseph-s-belvedere-portland,18.21384,-76.70737
Portland,Birnamwood,St. James',church,active,0,YES,st-james-birnamwood-portland,18.13288,-76.71685
Portland,Boston,St. Mark's,church,active,4,,st-mark-s-boston-portland,18.15278,-76.35583
Portland,Boundbrook,Boundbrook Chapel-of-Ease,chapel,active,0,YES,boundbrook-chapel-of-ease-boundbrook-portland,18.18105,-76.46337
Portland,Bourbon,St. Jude's,church,active,0,YES,st-jude-s-bourbon-portland,18.1823,-76.6023
Portland,Buff Bay,St. George's,church,active,9,,st-george-s-buff-bay-portland,18.23432,-76.65808
Portland,Bybrook,St. John's,church,active,0,YES,st-john-s-bybrook-portland,18.1412,-76.5712
Portland,Claverty Cottage,St. Paul's,church,active,0,YES,st-paul-s-claverty-cottage-portland,18.14876,-76.63923
Portland,Comfort Castle,St. Luke's,church,active,0,YES,st-luke-s-comfort-castle-portland,18.05210,-76.41412
Portland,Cooper's Hill,St. John's,church,active,0,YES,st-john-s-cooper-s-hill-portland,18.13755,-76.48742
Portland,Fellowship,All Saints',church,active,1,,all-saints-fellowship-portland,18.12783,-76.47202
Portland,Fruitful Vale,St. Michael's,church,active,0,YES,st-michael-s-fruitful-vale-portland,18.14195,-76.54997
Portland,Hope Bay,St. Peter's,church,active,5,,st-peter-s-hope-bay-portland,18.20064,-76.56736
Portland,John's Hall,St. Michael's,church,active,0,YES,st-michael-s-john-s-hall-portland,18.09200,-76.46300
Portland,Maidstone,Maidstone Chapel,chapel,active,0,YES,maidstone-chapel-portland,18.15583,-76.51028
Portland,Manchioneal,St. Thomas',church,active,2,,st-thomas-manchioneal-portland,18.03624,-76.27999
Portland,Moore Town,St. Paul's,church,active,0,YES,st-paul-s-moore-town-portland,18.07781,-76.42801
Portland,Nonsuch,St. Paul's,church,active,0,YES,st-paul-s-nonsuch-portland,18.15336,-76.41910
Portland,Nonsuch,St. Peter's Chapel (Ruin),chapel,ruin,0,YES,st-peter-s-chapel-ruin-nonsuch-portland,18.14692,-76.37788
Portland,Orange Bay,St. Dunstan's,church,active,2,,st-dunstan-s-orange-bay-portland,18.227028,-76.612250
Portland,Port Antonio,Christ Church (Parish Church),parish_church,active,7,,christ-church-parish-church-port-antonio-portland,18.17700,-76.44979
Portland,Rose Hill,St. Mary's,church,active,0,YES,st-mary-s-rose-hill-portland,18.19063,-76.67338
Portland,Rural Hill,St. Mary's,church,active,0,YES,st-mary-s-rural-hill-portland,18.06340,-76.32340
Portland,Sherwood Forest,St. Christopher's,church,active,0,YES,st-christopher-s-sherwood-forest-portland,18.14542,-76.37665
Portland,St. Margaret's Bay,St. Stephen's Church,church,active,5,,st-stephen-s-church-st-margaret-s-bay-portland,18.19542,-76.51917
Portland,Windsor Forrest,St. John's,church,active,0,YES,st-john-s-windsor-forrest-portland,18.11249,-76.33872
St. Andrew,August Town,St Cyprian’s,church,active,2,,st-cyprians-august-town-st-andrew,17.990734,-76.737715
St. Andrew,Brandon Hill,St. Gabriel's,church,inactive,0,YES,st-gabriel-s-brandon-hill-st-andrew,18.0123,-76.8212
St. Andrew,Brandon Hill,St. Philip's,church,active,0,YES,st-philip-s-brandon-hill-st-andrew,18.1482,-76.8051
St. Andrew,Cavaliers,St. Christopher's,church,active,1,,st-christopher-s-cavaliers-st-andrew,18.094818113862672,-76.83539058378626
St. Andrew,Clifton,St. Peter's,church,active,0,YES,st-peter-s-clifton-st-andrew,18.0823,-76.7923
St. Andrew,Constant Spring,Church of the Good Shepherd,church,active,6,,church-of-the-good-shepherd-constant-spring-st-andrew,18.047616,-76.794563
St. Andrew,Craighton,St. Mark’s,chapel,active,8,,st-mark-s-craighton-st-andrew,18.055780,-76.723051
St. Andrew,Cross Roads,St. Luke's Church,church,active,0,YES,st-luke-s-church-cross-roads-st-andrew,17.992140266192607,-76.78907724681167
St. Andrew,Duhaney Park,Church of the Resurrection,church,active,1,,church-of-the-resurrection-duhaney-park-st-andrew,17.9923,-76.8412
St. Andrew,Half-Way-Tree,St. Andrew Parish Church,parish_church,active,3,,st-andrew-parish-church-half-way-tree-st-andrew,18.010387,-76.799624
St. Andrew,Havendale,Church of the Transfiguration,church,active,1,,church-of-the-transfiguration-havendale-st-andrew,18.04287,-76.81476
St. Andrew,Hunt's Bay,St. Cuthbert's,mission,inactive,0,YES,st-cuthbert-s-hunt-s-bay-st-andrew,17.9923,-76.8512
St. Andrew,Jack's Hill,St. Matthew's,church,active,0,YES,st-matthew-s-jack-s-hill-st-andrew,18.0512,-76.7712
St. Andrew,Kencot,St. Clement's,church,active,1,,st-clement-s-kencot-st-andrew,18.0023,-76.8123
St. Andrew,Lawrencefield,St. Mary's Chapel,chapel,active,0,YES,st-mary-s-chapel-lawrencefield-st-andrew,18.0521,-76.7498
St. Andrew,Liguanea,St. Margaret's,church,active,9,,st-margaret-s-liguanea-st-andrew,18.019161,-76.761752
St. Andrew,Majesty Gardens,St. Thomas Mission,mission,active,0,YES,st-thomas-mission-majesty-gardens-st-andrew,17.9923,-76.8212
St. Andrew,Marverly,St. Mary the Virgin,church,active,0,YES,st-mary-the-virgin-marverly-st-andrew,18.024685494252143,-76.82173523081416
St. Andrew,Maryland,St. Stephen's,church,active,0,YES,st-stephen-s-maryland-st-andrew,18.1212,-76.7823
St. Andrew,Mavis Bank,St. Michael's,church,active,0,YES,st-michael-s-mavis-bank-st-andrew,18.03102,-76.65719
St. Andrew,Meadowbrook,St. John the Evangelist,church,active,4,,st-john-s-merrivale-st-andrew,18.03847,-76.79842
St. Andrew,Mona,Church of Ascension,church,active,1,,church-of-ascension-mona-st-andrew,18.014983,-76.747225
St. Andrew,Mount James,St. James',church,active,1,,st-james-mount-james-st-andrew,18.0823,-76.8512
St. Andrew,Padmore,St. Martin's,church,active,0,YES,st-martin-s-padmore-st-andrew,18.0912,-76.8412
St. Andrew,Stony Hill,St. Jude's,church,active,1,,st-jude-s-stony-hill-st-andrew,18.08012625832133,-76.79700526374288
St. Andrew,The Grove,St. Joseph's,church,active,0,YES,st-joseph-s-the-grove-st-andrew,18.029165,-76.732554
St. Andrew,Tom's River,St. Bartholomew's,church,active,0,YES,st-bartholomew-s-tom-s-river-st-andrew,18.1112,-76.7923
St. Andrew,Tower Hill,St. Paul's,church,active,0,YES,st-paul-s-tower-hill-st-andrew,18.00989409230041,-76.83030757624007
St. Andrew,Whitfield Town,St. Philip's,church,active,0,YES,st-philip-s-whitfield-town-st-andrew,17.999877,-76.807051
St. Andrew,Woodford,St. Mary's Church,church,active,5,,st-mary-s-church-woodford-st-andrew,18.067360,-76.742414
St. Ann,Aboukir,St. Luke's,church,active,1,,st-luke-s-aboukir-st-ann,18.3412,-77.3623
St. Ann,Bamboo,St. Andrew's,church,active,0,YES,st-andrew-s-bamboo-st-ann,18.3623,-77.3023
St. Ann,Brittonville,St. David's,church,active,0,YES,st-david-s-brittonville-st-ann,18.1923,-77.2823
St. Ann,Brown's Town,St. Mark's Church,church,active,1,,st-mark-s-church-brown-s-town-st-ann,18.393015,-77.367893
St. Ann,Brown's Town (Hillcrest Retreat),St. Anne's Chapel,chapel,active,2,,st-anne-s-chapel-hillcrest-retreat-st-ann,18.38500,-77.36000
St. Ann,Chalky Hill,St. John's Mission,mission,active,0,YES,st-john-s-mission-chalky-hill-st-ann,18.3897,-77.1412
St. Ann,Chester,St. Mark's,church,active,0,YES,st-mark-s-chester-st-ann,18.4023,-77.1512
St. Ann,Claremont,St. Matthew's,church,active,0,YES,st-matthew-s-claremont-st-ann,18.327030,-77.176691
St. Ann,Gibraltar,St. James',church,active,1,,st-james-gibraltar-st-ann,18.3412,-77.3412
St. Ann,Hiattsfield,St. Francis Church,church,active,0,YES,st-francis-church-hiattsfield-st-ann,18.371088,-77.078656
St. Ann,Lime Hall,St. Saviour's,church,active,1,,st-saviour-s-lime-hall-st-ann,18.404765,-77.213616
St. Ann,Madras,St. Barnabas',church,active,0,YES,st-barnabas-madras-st-ann,18.30139,-77.44241
St. Ann,Moneague,Christ Church,church,active,18,,christ-church-moneague-st-ann,18.271004,-77.115215
St. Ann,Ocho Rios,St. John's,church,active,0,YES,st-john-s-ocho-rios-st-ann,18.400392,-77.101566
St. Ann,Prickly Pole,St. Andrew's,church,active,0,YES,st-andrew-s-prickly-pole-st-ann,18.285354,-77.259082
St. Ann,Priory,St. Agnes',church,active,7,,st-agnes-church-priory-st-ann,18.443866,-77.227730
St. Ann,Salisbury,St. Agnes,church,active,0,YES,st-agnes-salisbury-st-ann,18.35902,-77.10633
St. Ann,St. Ann's Bay,St. Ann Parish Church,parish_church,active,10,,st-ann-parish-church-st-ann-s-bay-st-ann,18.434524,-77.202641
St. Catherine,Bartons,St. George's,church,active,0,YES,st-george-s-bartons-st-catherine,18.0623,-77.0912
St. Catherine,Bellas Gate,All Saints',church,active,1,,all-saints-bellas-gate-st-catherine,18.0823,-77.0712
St. Catherine,Blackstonedge,St. George's,church,inactive,1,,st-george-s-blackstonedge-st-catherine,18.1212,-77.0723
St. Catherine,Bog Walk,St. Thomas-ye-Vale,church,active,7,,st-thomas-ye-vale-bog-walk-st-catherine,18.1176,-77.0127
St. Catherine,Camperdown,St. Lawrence's,church,active,0,YES,st-lawrence-s-camperdown-st-catherine,18.16710,-77.53320
St. Catherine,Clapham,St. Paul's,church,active,0,YES,st-paul-s-clapham-st-catherine,18.15,-77.05
St. Catherine,Crescent,St. Barnabas',church,active,0,YES,st-barnabas-crescent-st-catherine,18.0234,-77.0412
St. Catherine,Ewarton,SS Simon and Jude,church,active,3,,ss-simon-and-jude-ewarton-st-catherine,18.1806,-77.0861
St. Catherine,Faith's,St. Faith's,church,active,0,YES,st-faith-s-faith-s-st-catherine,18.1312,-77.0823
St. Catherine,Freetown,SS Michael and George's,church,active,0,YES,ss-michael-and-george-s-freetown-st-catherine,17.917912,-77.145950
St. Catherine,Goffe / Goba (district),St. Paul's,mission,inactive,0,YES,st-paul-s-goba-st-catherine,18.1023,-77.0212
St. Catherine,Guanaboa Vale,St. John's OPC,church,active,1,,st-john-s-opc-guanaboa-vale-st-catherine,18.0423,-77.0312
St. Catherine,Guy's Hill,All Saints',church,active,1,,all-saints-guys-hill-st-catherine,18.255059,-76.933850
St. Catherine,Ham Walk,St. Mark's,church,active,0,YES,st-mark-s-ham-walk-st-catherine,18.0512,-77.0512
St. Catherine,Harewood,St. Saviour's,church,active,1,,st-saviour-s-harewood-st-catherine,18.0923,-77.0512
St. Catherine,Innswood/McCook's Pen,St. Joseph's,church,active,0,YES,st-joseph-s-innswood-mccook-s-pen-st-catherine,17.9766,-77.0101
St. Catherine,Juan-de-Bolas,St. Luke's,church,active,0,YES,st-luke-s-juan-de-bolas-st-catherine,18.09,-76.95
