id,name,parish,classification,status,lat,lng,town
st-matthew-s-aenon-town-clarendon,St. Matthew's,Clarendon,church,active,18.17179,-77.37497,Aenon Town
st-peter-s-church-alley-clarendon,St. Peter's Church,Clarendon,church,active,17.8072,-77.2666,Alley
st-mark-s-beckford-kraal-clarendon,St. Mark's,Clarendon,church,active,18.0833,-77.3130,Beckford Kraal
st-paul-s-chapelton-clarendon,St. Paul's,Clarendon,church,active,18.0837,-77.2666,Chapelton
all-saints-crofts-hill-clarendon,All Saints,Clarendon,church,active,18.1361,-77.20749,Crofts Hill
st-john-s-church-frankfield-clarendon,St. John's Church,Clarendon,church,active,18.0814,-77.3521,Frankfield
st-bartholomew-s-frankfield-clarendon,St. Bartholomew's,Clarendon,church,active,18.1449,-77.3634,Frankfield
st-bartholomew-s-good-hope-clarendon,St. Bartholomew's,Clarendon,church,inactive,18.1523,-77.1923,Good Hope
st-james-hayes-clarendon,St. James',Clarendon,church,active,17.9023,-77.3023,Hayes
st-mary-s-church-kellits-clarendon,St. Mary's Church,Clarendon,church,active,18.1624,-77.2588,Kellits
st-paul-s-church-may-pen-clarendon,St. Paul's Church,Clarendon,church,active,17.9637,-77.2453,May Pen
st-gabriel-s-may-pen-clarendon,St. Gabriel's,Clarendon,church,active,17.9687,-77.2471,May Pen
st-benedict-s-mission-milk-river-clarendon,St. Benedict's Mission,Clarendon,mission,active,17.8712,-77.3349,Milk River
st-saviour-s-milk-river-clarendon,St. Saviour's,Clarendon,church,inactive,17.8782,-77.33488,Milk River
church-of-the-white-cross-ruins-the-cross-clarendon,Church of the White Cross (Ruins),Clarendon,ruin,ruin,17.95,-77.217,The Cross
longville-park-mission-clarendon,Longville Park Mission,Clarendon,mission,active,17.9122,-77.1598,Longville Park
st-paul-s-mocho-clarendon,St. Paul's,Clarendon,church,active,18.0212,-77.3823,Mocho
st-john-s-palmers-cross-clarendon,St. John's,Clarendon,church,active,17.9312,-77.2023,Palmers Cross
holy-trinity-park-hall-clarendon,Holy Trinity,Clarendon,church,active,18.1512,-77.2412,Park Hall
st-augustine-s-church-porous-clarendon,St. Augustine's Church,Clarendon,church,active,17.9731,-77.2264,Porous
st-john-s-portland-cottage-clarendon,St. John's,Clarendon,church,inactive,17.8912,-77.1523,Portland Cottage
st-thomas-race-course-clarendon,St. Thomas',Clarendon,church,active,17.8365,-77.2801,Race Course
st-george-s-red-hills-clarendon,St. George's,Clarendon,church,active,18.0412,-77.2123,Red Hills (Clarendon)
all-saints-richmond-park-clarendon,All Saints',Clarendon,church,active,17.9712,-77.2923,Richmond Park
st-stephen-s-church-rock-river-clarendon,St. Stephen's Church,Clarendon,church,active,18.0781,-77.1832,Rock River
st-james-rock-river-clarendon,St. James',Clarendon,church,active,18.0212,-77.3023,Rock River
st-luke-s-sanguinetti-clarendon,St. Luke's,Clarendon,church,active,18.1559,-77.4294,Sanguinetti
st-bartholomew-s-dalmally-hanover,St. Bartholomew’s,Hanover,church,active,18.3975,-78.1931,Dalmally
st-augustine-s-church-hill-hanover,St. Augustine’s,Hanover,church,active,18.350014,-78.29323,Church Hill
st-philip-s-eaton-hanover,St. Philip’s,Hanover,church,active,18.38532,-78.14625,Eaton
st-agnes-grange-hanover,St. Agnes’,Hanover,church,active,18.36315,-78.23617,Grange
church-of-the-holy-trinity-green-island-hanover,Church-of-the-Holy-Trinity,Hanover,church,active,18.38903,-78.27311,Green Island
st-mark-s-hopewell-hanover,St. Mark's,Hanover,church,active,18.4412,-78.0312,Hopewell
hanover-parish-church-lucea-hanover,Hanover Parish Church,Hanover,church,active,18.44964,-78.17051,Lucea
st-george-s-church-83-east-street-kingston,St. George's Church,Kingston,church,active,17.973,-76.7897,83 East Street
st-matthew-s-allman-town-kingston,St. Matthew's,Kingston,church,inactive,17.9823,-76.7823,Allman Town
st-michael-s-church-hannah-town-kingston,St. Michael's Church,Kingston,church,active,17.9709,-76.7801,Hannah Town
